market,stock_no,stock_name,date,roc_date,volume_shares,turnover_twd,open,high,low,close,change,transactions
tpex,8358,金居,2025-06-02,114/06/02,1234000,65658000,54.00,54.00,52.70,53.10,-1.50,1015
tpex,8358,金居,2025-06-03,114/06/03,5079000,280960000,54.00,56.20,54.00,56.00,2.90,3644
tpex,8358,金居,2025-06-04,114/06/04,3461000,192998000,56.80,56.80,55.20,55.60,-0.40,2550
tpex,8358,金居,2025-06-05,114/06/05,1426000,78542000,55.50,55.70,54.70,55.20,-0.40,1237
tpex,8358,金居,2025-06-06,114/06/06,879000,48012000,55.20,55.30,54.30,54.40,-0.80,790
tpex,8358,金居,2025-06-09,114/06/09,8834000,503298000,55.20,57.90,54.60,57.80,3.40,5896
tpex,8358,金居,2025-06-10,114/06/10,6351000,364090000,57.80,57.90,56.80,57.00,-0.80,5215
tpex,8358,金居,2025-06-11,114/06/11,2708000,154232000,57.40,57.60,56.30,57.20,0.20,2098
tpex,8358,金居,2025-06-12,114/06/12,8623000,502895000,58.20,59.30,57.70,57.70,0.50,5681
tpex,8358,金居,2025-06-13,114/06/13,3682000,211109000,57.00,58.20,56.90,57.00,-0.70,2699
tpex,8358,金居,2025-06-16,114/06/16,2221000,126928000,57.30,57.60,56.60,57.60,0.60,1508
tpex,8358,金居,2025-06-17,114/06/17,2825000,162603000,57.90,58.20,56.80,57.40,-0.20,2106
tpex,8358,金居,2025-06-18,114/06/18,3326000,192702000,57.20,58.30,57.10,58.10,0.70,2359
tpex,8358,金居,2025-06-19,114/06/19,2961000,170823000,58.50,58.50,57.10,57.10,-1.00,1974
tpex,8358,金居,2025-06-20,114/06/20,1945000,109399000,56.80,57.50,55.60,56.00,-1.10,1406
tpex,8358,金居,2025-06-23,114/06/23,1640000,91879000,55.00,57.00,54.70,56.90,0.90,1108
tpex,8358,金居,2025-06-24,114/06/24,2288000,132467000,57.70,58.30,57.50,58.00,1.10,1491
tpex,8358,金居,2025-06-25,114/06/25,6456000,378833000,58.50,59.20,57.50,58.60,0.60,4323
tpex,8358,金居,2025-06-26,114/06/26,3649000,213589000,59.00,59.20,57.90,58.00,-0.60,2490
tpex,8358,金居,2025-06-27,114/06/27,1840000,106685000,58.20,58.50,57.70,57.90,-0.10,1286
tpex,8358,金居,2025-06-30,114/06/30,3465000,202725000,57.90,59.00,57.90,58.10,0.20,2461
tpex,8358,金居,2025-07-01,114/07/01,3815000,223452000,58.50,59.20,58.00,58.00,-0.10,2631
tpex,8358,金居,2025-07-02,114/07/02,3721000,217763000,57.80,58.90,57.80,58.70,0.70,2495
tpex,8358,金居,2025-07-03,114/07/03,2379000,139306000,59.00,59.00,58.20,58.50,-0.20,1669
tpex,8358,金居,2025-07-04,114/07/04,2384000,137703000,58.60,58.70,57.20,57.20,-1.30,1818
tpex,8358,金居,2025-07-07,114/07/07,1028000,58116000,56.80,57.30,56.20,56.30,-0.90,954
tpex,8358,金居,2025-07-08,114/07/08,1552000,87465000,56.30,57.40,55.20,57.20,0.90,1168
tpex,8358,金居,2025-07-09,114/07/09,30124000,1842372000,58.00,62.90,58.00,62.90,5.70,22336
tpex,8358,金居,2025-07-10,114/07/10,77247000,5263025000,67.80,69.10,66.10,69.10,6.20,39463
tpex,8358,金居,2025-07-11,114/07/11,102986000,7470579000,71.40,74.50,70.60,72.60,3.50,60399
tpex,8358,金居,2025-07-14,114/07/14,27141000,1973830000,72.60,73.80,71.70,72.80,0.20,15932
tpex,8358,金居,2025-07-15,114/07/15,87822000,6677958000,74.30,78.40,73.60,76.90,4.10,56941
tpex,8358,金居,2025-07-16,114/07/16,48453000,3748707000,77.80,80.60,74.30,74.30,-2.60,28547
tpex,8358,金居,2025-07-17,114/07/17,79304000,6352917000,75.80,81.70,75.60,81.70,7.40,39765
tpex,8358,金居,2025-07-18,114/07/18,82562000,7008679000,83.70,87.00,82.30,83.60,1.90,44432
tpex,8358,金居,2025-07-21,114/07/21,47958000,4253078000,86.40,90.30,85.50,90.30,8.20,29003
tpex,8358,金居,2025-07-22,114/07/22,86771000,7857784000,93.00,93.50,86.50,87.00,-3.30,51142
tpex,8358,金居,2025-07-23,114/07/23,62605000,5681896000,89.90,93.60,88.30,89.60,2.60,39492
tpex,8358,金居,2025-07-24,114/07/24,99014000,9420944000,93.40,98.30,91.40,97.50,7.90,63595
tpex,8358,金居,2025-07-25,114/07/25,46903000,4545396000,97.50,98.40,95.30,97.50,0.00,29315
tpex,8358,金居,2025-07-28,114/07/28,51744000,5391506000,99.60,107.00,99.50,107.00,9.50,35744
tpex,8358,金居,2025-07-29,114/07/29,73831000,7913801000,107.00,109.50,105.00,106.00,-1.00,39682
tpex,8358,金居,2025-07-30,114/07/30,76623000,8386487000,108.00,116.00,105.50,114.00,8.00,45614
tpex,8358,金居,2025-07-31,114/07/31,100236000,11506312000,106.50,120.50,106.50,118.50,4.50,56946
tpex,8358,金居,2025-08-01,114/08/01,72536000,8396210000,114.50,119.50,112.50,113.00,-5.50,40758
tpex,8358,金居,2025-08-04,114/08/04,42395000,4638094000,112.00,113.50,107.00,108.00,-5.00,22934
tpex,8358,金居,2025-08-05,114/08/05,56287000,6302834000,114.00,115.50,108.00,111.00,3.00,33223
tpex,8358,金居,2025-08-06,114/08/06,44182000,4998058000,111.00,115.50,110.00,113.50,2.50,26109
tpex,8358,金居,2025-08-07,114/08/07,51646000,5994792000,116.00,120.00,113.00,114.00,0.50,29182
tpex,8358,金居,2025-08-08,114/08/08,40466000,4958813000,115.50,125.00,115.50,125.00,11.00,23066
tpex,8358,金居,2025-08-11,114/08/11,87454000,11431262000,130.00,134.00,126.00,131.00,6.00,46062
tpex,8358,金居,2025-08-12,114/08/12,125609000,17441360000,133.00,144.00,132.50,140.50,9.50,66406
tpex,8358,金居,2025-08-13,114/08/13,74808000,10696454000,143.00,147.00,139.00,139.50,-1.00,43181
tpex,8358,金居,2025-08-14,114/08/14,28489000,4346806000,151.50,153.00,150.00,153.00,13.50,11354
tpex,8358,金居,2025-08-15,114/08/15,61805000,10264951000,163.00,168.00,161.00,168.00,15.00,31240
tpex,8358,金居,2025-08-18,114/08/18,58760000,10629417000,177.50,184.50,176.00,184.50,16.50,38993
tpex,8358,金居,2025-08-19,114/08/19,20550000,3559489000,187.00,190.50,166.50,168.00,-16.50,18550
tpex,8358,金居,2025-08-20,114/08/20,29851000,4723742000,161.50,166.00,152.00,162.00,-6.00,18707
tpex,8358,金居,2025-08-21,114/08/21,17460000,3036319000,170.00,178.00,168.00,178.00,16.00,14008
tpex,8358,金居,2025-08-22,114/08/22,14424000,2569235000,176.00,186.00,169.00,180.50,2.50,11256
tpex,8358,金居,2025-08-25,114/08/25,12491000,2414063000,192.00,198.50,188.00,198.50,18.00,10727
tpex,8358,金居,2025-08-26,114/08/26,14024000,2718729000,196.50,211.00,185.00,211.00,12.50,12414
tpex,8358,金居,2025-08-27,114/08/27,18752000,4084495000,218.00,232.00,208.00,214.00,3.00,16040
tpex,8358,金居,2025-08-28,114/08/28,8251000,1698287000,205.50,210.00,203.00,203.50,-10.50,9500
tpex,8358,金居,2025-08-29,114/08/29,10173000,2154049000,210.50,218.50,204.00,217.50,14.00,9153
tpex,8358,金居,2025-09-01,114/09/01,15295000,3067820000,211.50,217.50,196.00,196.00,-21.50,13560
tpex,8358,金居,2025-09-02,114/09/02,93682000,19031062000,200.50,215.50,188.50,215.50,19.50,64041
tpex,8358,金居,2025-09-03,114/09/03,140047000,30837432000,219.00,232.50,208.50,212.00,-3.50,105681
tpex,8358,金居,2025-09-04,114/09/04,66610000,14049297000,215.00,217.50,203.00,207.00,-5.00,44631
tpex,8358,金居,2025-09-05,114/09/05,66070000,14658840000,216.50,227.50,211.50,227.50,20.50,46796
tpex,8358,金居,2025-09-08,114/09/08,80747000,19199634000,241.00,246.00,228.50,232.50,5.00,50412
tpex,8358,金居,2025-09-09,114/09/09,71109000,17399594000,234.50,255.50,231.00,255.50,23.00,57922
tpex,8358,金居,2025-09-10,114/09/10,85203000,22936211000,266.00,278.50,259.50,262.00,6.50,65312
tpex,8358,金居,2025-09-11,114/09/11,73262000,18413178000,266.00,267.00,238.50,249.00,-13.00,58713
tpex,8358,金居,2025-09-12,114/09/12,137056000,33993717000,251.00,271.00,230.00,233.50,-15.50,99551
tpex,8358,金居,2025-09-15,114/09/15,47761000,10344913000,223.00,230.50,210.50,210.50,-23.00,41889
tpex,8358,金居,2025-09-16,114/09/16,63471000,13525617000,210.50,218.00,207.50,214.00,3.50,44356
tpex,8358,金居,2025-09-17,114/09/17,77431000,15935502000,214.50,217.50,196.50,209.50,-4.50,58092
tpex,8358,金居,2025-09-18,114/09/18,62199000,13400934000,212.50,225.00,207.00,219.50,10.00,45606
tpex,8358,金居,2025-09-19,114/09/19,70944000,16017838000,221.50,233.50,215.00,230.50,11.00,66829
tpex,8358,金居,2025-09-22,114/09/22,62084000,14962107000,234.00,250.00,229.50,248.50,18.00,56040
tpex,8358,金居,2025-09-23,114/09/23,75946000,19170153000,259.00,264.50,240.50,241.50,-7.00,57735
tpex,8358,金居,2025-09-24,114/09/24,44668000,10402065000,236.50,240.00,227.00,232.50,-9.00,33868
